"document_id","title","content","usage_example","category","tags","reference"
"12","Ingress class","Deprecated annotation Before the IngressClass resource and ingressClassName field were added in Kubernetes 1.18, Ingress classes were specified with a kubernetes.io/ingress.class annotation on the Ingress.
This annotation was never formally defined, but was widely supported by Ingress controllers.
The newer ingressClassName field on Ingresses is a replacement for that annotation, but is not a direct equivalent.
While the annotation was generally used to reference the name of the Ingress controller that should implement the Ingress, the field is a reference to an IngressClass resource that contains additional Ingress configuration, including the name of the Ingress controller.
Default IngressClass You can mark a particular IngressClass as default for your cluster.
Setting the ingressclass.kubernetes.io/is-default-class annotation to true on an IngressClass resource will ensure that new Ingresses without an ingressClassName field specified will be assigned this default IngressClass.
Caution: If you have more than one IngressClass marked as the default for your cluster, the admission controller prevents creating new Ingress objects that don't have an ingressClassName specified.
You can resolve this by ensuring that at most 1 IngressClass is marked as default in your cluster.
There are some ingress controllers, that work without the definition of a default IngressClass.
For example, the Ingress-NGINX controller can be configured with a flag","---
apiVersion: networking.k8s.io/v1
kind: IngressClass
metadata:
  name: external-lb-2
spec:
  controller: example.com/ingress-controller
  parameters:
    # The parameters for this IngressClass are specified in an
    # IngressParameter (API group k8s.example.com) named ""external-config"",
    # that's in the ""external-configuration"" namespace.
    scope: Namespace
    apiGroup: k8s.example.com
    kind: IngressParameter
    namespace: external-configuration
    name: external-config","Kubernetes Ingress","None","None"
"13","Ingress class",".
It is recommended though, to specify the default IngressClass : service/networking/default-ingressclass.yaml","--watch-ingress-without-class","Kubernetes Ingress","None","None"
"14","Ingress class","","apiVersion: networking.k8s.io/v1
kind: IngressClass
metadata:
  labels:
    app.kubernetes.io/component: controller
  name: nginx-example
  annotations:
    ingressclass.kubernetes.io/is-default-class: ""true""
spec:
  controller: k8s.io/ingress-nginx
","Kubernetes Ingress","None","None"
"15","Types of Ingress","Ingress backed by a single Service There are existing Kubernetes concepts that allow you to expose a single Service (see alternatives).
You can also do this with an Ingress by specifying a default backend with no rules.
service/networking/test-ingress.yaml

If you create it using","apiVersion: networking.k8s.io/v1
kind: Ingress
metadata:
  name: test-ingress
spec:
  defaultBackend:
    service:
      name: test
      port:
        number: 80","Kubernetes Ingress","None","None"
"16","Types of Ingress","","kubectl apply -f","Kubernetes Ingress","None","None"
"17","Types of Ingress","NAME CLASS HOSTS ADDRESS PORTS AGE test-ingress external-lb * 203.0.113.123 80 59s Where 203.0.113.123 is the IP allocated by the Ingress controller to satisfy this Ingress.
Note: Ingress controllers and load balancers may take a minute or two to allocate an IP address.
Until that time, you often see the address listed as <pending>.
Simple fanout A fanout configuration routes traffic from a single IP address to more than one Service, based on the HTTP URI being requested.
An Ingress allows you to keep the number of load balancers down to a minimum.
For example, a setup like: Figure.
Ingress Fan Out It would require an Ingress such as: service/networking/simple-fanout-example.yaml","kubectl get ingress test-ingress","Kubernetes Ingress","None","None"
"18","Types of Ingress","When you create the Ingress with kubectl apply -f :","apiVersion: networking.k8s.io/v1
kind: Ingress
metadata:
  name: simple-fanout-example
spec:
  rules:
  - host: foo.bar.com
    http:
      paths:
      - path: /foo
        pathType: Prefix
        backend:
          service:
            name: service1
            port:
              number: 4200
      - path: /bar
        pathType: Prefix
        backend:
          service:
            name: service2
            port:
              number: 8080","Kubernetes Ingress","None","None"
"19","Types of Ingress","you should be able to view the state of the Ingress you added:","kubectl apply -f","Kubernetes Ingress","None","None"
"20","Types of Ingress","","kubectl describe ingress simple-fanout-example","Kubernetes Ingress","None","None"
"21","Types of Ingress","The Ingress controller provisions an implementation-specific load balancer that satisfies the Ingress, as long as the Services (service1, service2) exist.
When it has done so, you can see the address of the load balancer at the Address field.
Note: Depending on the Ingress controller you are using, you may need to create a default-http-backend Service.
Name based virtual hosting Name-based virtual hosts support routing HTTP traffic to multiple host names at the same IP address.
Figure.
Ingress Name Based Virtual hosting The following Ingress tells the backing load balancer to route requests based on the Host header.
service/networking/name-virtual-host-ingress.yaml","Name:             simple-fanout-example
Namespace:        default
Address:          178.91.123.132
Default backend:  default-http-backend:80 (10.8.2.3:8080)
Rules:
  Host         Path  Backends
  ----         ----  --------
  foo.bar.com
               /foo   service1:4200 (10.8.0.90:4200)
               /bar   service2:8080 (10.8.0.91:8080)
Events:
  Type     Reason  Age                From                     Message
  ----     ------  ----               ----                     -------
  Normal   ADD     22s                loadbalancer-controller  default/test","Kubernetes Ingress","None","None"
"22","Types of Ingress","If you create an Ingress resource without any hosts defined in the rules, then any web traffic to the IP address of your Ingress controller can be matched without a name based virtual host being required.
For example, the following Ingress routes traffic requested for first.bar.com to service1 , second.bar.com to service2 , and any traffic whose request host header doesn't match first.bar.com and second.bar.com to service3.
service/networking/name-virtual-host-ingress-no-third-host.yaml","apiVersion: networking.k8s.io/v1
kind: Ingress
metadata:
  name: name-virtual-host-ingress
spec:
  rules:
  - host: foo.bar.com
    http:
      paths:
      - pathType: Prefix
        path: ""/""
        backend:
          service:
            name: service1
            port:
              number: 80
  - host: bar.foo.com
    http:
      paths:
      - pathType: Prefix
        path: ""/""
        backend:
          service:
            name: service2
            port:
              number: 80","Kubernetes Ingress","None","None"
"23","Types of Ingress","TLS You can secure an Ingress by specifying a Secret that contains a TLS private key and certificate.
The Ingress resource only supports a single TLS port, 443, and assumes TLS termination at the ingress point (traffic to the Service and its Pods is in plaintext).
If the TLS configuration section in an Ingress specifies different hosts, they are multiplexed on the same port according to the hostname specified through the SNI TLS extension (provided the Ingress controller supports SNI).
The TLS secret must contain keys named tls.crt and tls.key that contain the certificate and private key to use for TLS.
For example:","apiVersion: networking.k8s.io/v1
kind: Ingress
metadata:
  name: name-virtual-host-ingress-no-third-host
spec:
  rules:
  - host: first.bar.com
    http:
      paths:
      - pathType: Prefix
        path: ""/""
        backend:
          service:
            name: service1
            port:
              number: 80
  - host: second.bar.com
    http:
      paths:
      - pathType: Prefix
        path: ""/""
        backend:
          service:
            name: service2
            port:
              number: 80
  - http:
      paths:
      - pathType: Prefix
        path: ""/""
        backend:
          service:
            name: service3
            port:
              number: 80","Kubernetes Ingress","None","None"
"24","Types of Ingress","Referencing this secret in an Ingress tells the Ingress controller to secure the channel from the client to the load balancer using TLS.
You need to make sure the TLS secret you created came from a certificate that contains a Common Name (CN), also known as a Fully Qualified Domain Name (FQDN) for https-example.foo.com.
Note: Keep in mind that TLS will not work on the default rule because the certificates would have to be issued for all the possible sub-domains.
Therefore, hosts in the tls section need to explicitly match the host in the rules section.
service/networking/tls-example-ingress.yaml","apiVersion: v1
kind: Secret
metadata:
  name: testsecret-tls
  namespace: default
data:
  tls.crt: base64 encoded cert
  tls.key: base64 encoded key
type: kubernetes.io/tls","Kubernetes Ingress","None","None"
"25","Types of Ingress","Note: There is a gap between TLS features supported by various Ingress controllers.
Please refer to documentation on nginx, GCE, or any other platform specific Ingress controller to understand how TLS works in your environment.
Load balancing An Ingress controller is bootstrapped with some load balancing policy settings that it applies to all Ingress, such as the load balancing algorithm, backend weight scheme, and others.
More advanced load balancing concepts (e.g.
persistent sessions, dynamic weights) are not yet exposed through the Ingress.
You can instead get these features through the load balancer used for a Service.
It's also worth noting that even though health checks are not exposed directly through the Ingress, there exist parallel concepts in Kubernetes such as readiness probes that allow you to achieve the same end result.
Please review the controller specific documentation to see how they handle health checks (for example: nginx, or GCE).","apiVersion: networking.k8s.io/v1
kind: Ingress
metadata:
  name: tls-example-ingress
spec:
  tls:
  - hosts:
      - https-example.foo.com
    secretName: testsecret-tls
  rules:
  - host: https-example.foo.com
    http:
      paths:
      - path: /
        pathType: Prefix
        backend:
          service:
            name: service1
            port:
              number: 80
","Kubernetes Ingress","None","None"
"26","Updating an Ingress","","kubectl describe ingress test","Kubernetes Ingress","None","None"
"27","Updating an Ingress","","Name:             test
Namespace:        default
Address:          178.91.123.132
Default backend:  default-http-backend:80 (10.8.2.3:8080)
Rules:
  Host         Path  Backends
  ----         ----  --------
  foo.bar.com
               /foo   service1:80 (10.8.0.90:80)
Annotations:
  nginx.ingress.kubernetes.io/rewrite-target:  /
Events:
  Type     Reason  Age                From                     Message
  ----     ------  ----               ----                     -------
  Normal   ADD     35s                loadbalancer-controller  default/test","Kubernetes Ingress","None","None"
"28","Updating an Ingress","This pops up an editor with the existing configuration in YAML format.
Modify it to include the new Host:","kubectl edit ingress test","Kubernetes Ingress","None","None"
"29","Updating an Ingress","After you save your changes, kubectl updates the resource in the API server, which tells the Ingress controller to reconfigure the load balancer.
Verify this: kubectl describe ingress test","spec:
  rules:
  - host: foo.bar.com
    http:
      paths:
      - backend:
          service:
            name: service1
            port:
              number: 80
        path: /foo
        pathType: Prefix
  - host: bar.baz.com
    http:
      paths:
      - backend:
          service:
            name: service2
            port:
              number: 80
        path: /foo
        pathType: Prefix
..","Kubernetes Ingress","None","None"
"30","Updating an Ingress","To update an existing Ingress to add a new Host, you can update it by editing the resource:","kubectl describe ingress test","Kubernetes Ingress","None","None"
"31","Updating an Ingress","You can achieve the same outcome by invoking","Name:             test
Namespace:        default
Address:          178.91.123.132
Default backend:  default-http-backend:80 (10.8.2.3:8080)
Rules:
  Host         Path  Backends
  ----         ----  --------
  foo.bar.com
               /foo   service1:80 (10.8.0.90:80)
  bar.baz.com
               /foo   service2:80 (10.8.0.91:80)
Annotations:
  nginx.ingress.kubernetes.io/rewrite-target:  /
Events:
  Type     Reason  Age                From                     Message
  ----     ------  ----               ----                     -------
  Normal   ADD     45s                loadbalancer-controller  default/test","Kubernetes Ingress","None","None"
"32","Updating an Ingress","on a modified Ingress YAML file.","kubectl replace -f
","Kubernetes Ingress","None","None"
"33","Failing across availability zones","Techniques for spreading traffic across failure domains differ between cloud providers.
Please check the documentation of the relevant Ingress controller for details.","None","Kubernetes Ingress","None","None"
"34","Alternatives","You can expose a Service in multiple ways that don't directly involve the Ingress resource: Use Service.Type=LoadBalancer Use Service.Type=NodePort","None","Kubernetes Ingress","None","None"
"35","What's next","Learn about the Ingress API Learn about Ingress controllers Set up Ingress on Minikube with the NGINX Controller","None","Kubernetes Ingress","None","None"
